indx,trigger1,trigger2,trigger3,context1,context2,context3,function1,function2,function3,content1,content2,content3,content4,time_start,time_end,duration,recur,singers_n,singers_age1,singers_age2,shape_type,appear_paint,appear_adorn,appear_cloth,appear_mask,appear_obj,restrict_sex,restrict_marry,restrict_grp1,restrict_grp2,audience_n,audience_age1,audience_age2,audience_sex,audience_marry,audience_grp1,audience_grp2,instrument_type1,instrument_type2,instrument_type3
76,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Family (includes nuclear family, polygamy, adoption)","Death (burials, funerals, mourning)","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
77,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Status, role, and prestige",Animal husbandry,"Kin groups (clans, tribes, nation)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
78,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Death (burials, funerals, mourning)",Drives and emotions,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
79,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Status, role, and prestige","Death (burials, funerals, mourning)","Kin groups (clans, tribes, nation)",.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
80,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Family (includes nuclear family, polygamy, adoption)","Death (burials, funerals, mourning)",Drives and emotions,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
81,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Death (burials, funerals, mourning)",Drives and emotions,Human Biology,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
82,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Death (burials, funerals, mourning)","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Sickness, medical care, and shamans",.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
83,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Death (burials, funerals, mourning)",Drives and emotions,.,Drives and emotions,"Death (burials, funerals, mourning)","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
84,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Death (burials, funerals, mourning)",Drives and emotions,.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
85,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Death (burials, funerals, mourning)",Interpersonal relations (includes love),.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
86,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Death (burials, funerals, mourning)","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
87,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),.,.,Line (or row),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
88,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",Drives and emotions,.,Drives and emotions,.,.,.,.,.,.,.,.,.,.,Solo singer,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
89,.,.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
90,Agriculture,.,.,Drives and emotions,Agriculture,.,.,.,.,Drives and emotions,.,.,.,.,.,.,.,Solo singer,Adult,.,.,.,.,.,.,.,Male,.,.,.,.,.,.,.,.,.,.,.,.,.
91,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Chordophone,Chordophone,.
92,Drives and emotions,.,.,"Death (burials, funerals, mourning)",Drives and emotions,.,Drives and emotions,"Death (burials, funerals, mourning)",.,Drives and emotions,"Death (burials, funerals, mourning)",.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Chordophone,.,.
93,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,Traditional history,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Membranophone,Idiophone,.
94,Drives and emotions,.,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Death (burials, funerals, mourning)",Drives and emotions,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
95,.,.,.,Labor,Friendships,.,Drives and emotions,Interpersonal relations (includes love),.,Interpersonal relations (includes love),Fauna,.,.,.,.,.,.,Solo singer,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
96,Spectacles,.,.,"Status, role, and prestige","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,"Status, role, and prestige",Communication,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Status, role, and prestige","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Political behavior,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
97,Marriage,.,.,Marriage,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,Drives and emotions,.,.,.,.,.,.,.,.,.,.,2-5 singers,Adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,Chordophone,.,.
98,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Communication,.,Ideas about nature and people,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
99,Spectacles,.,.,Drives and emotions,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Other shape,Head/face & shoulders,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Male,.,Adults,.,.,.,.
100,Spectacles,Food consumption,.,Food consumption,Spectacles,.,"Status, role, and prestige",Drives and emotions,.,"Status, role, and prestige",Traditional history,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,Both sexes,.,"Singers/musicians (e.g., bards, minstrels)",.,.,.,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,Chordophone,.,.
101,Annual cycle,.,.,Games,.,.,Drives and emotions,Interpersonal relations (includes love),.,Fauna,Travel and transportation,Ideas about nature and people,.,.,.,.,.,Multiple singers (number unknown),Child,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
102,Marriage,Interpersonal relations (includes love),.,Dance,.,.,Inter-community relations,War,.,War,Drives and emotions,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,1,.,.,"Raiders, warriors, head-hunters, etc.",.,.,.,.,.,.,.,.,.,.,.
103,"Death (burials, funerals, mourning)",Drives and emotions,.,"Death (burials, funerals, mourning)",.,.,Drives and emotions,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,Drives and emotions,"Death (burials, funerals, mourning)",.,.,.,.,.,.,.,Adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
104,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,Drives and emotions,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,Drives and emotions,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,.,.,.,.,.,1-10 hours,No recurrence,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,"Singers/musicians (e.g., bards, minstrels)",.,.,.,.,.,.,.,.,.,.,.
105,Dance,Spectacles,.,Dance,.,.,Drives and emotions,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
106,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Games,.,Games,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Status, role, and prestige",.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Child,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
107,Marriage,.,.,Travel and transportation,.,.,Drives and emotions,.,.,.,.,.,.,.,.,.,.,.,Adult,.,.,.,.,.,.,.,Both sexes,.,"Singers/musicians (e.g., bards, minstrels)",.,.,.,.,.,.,.,.,Chordophone,.,.
108,.,.,.,.,.,.,.,.,.,Interpersonal relations (includes love),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
109,Food consumption,.,.,Food consumption,.,.,Drives and emotions,.,.,"Status, role, and prestige",War,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,11-20 listeners,Adult,.,.,.,.,.,Chordophone,.,.
110,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Sickness, medical care, and shamans",.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,"Singers/musicians (e.g., bards, minstrels)",.,.,.,.,.,.,.,.,.,.,.
111,.,.,.,Spectacles,.,.,Accumulation of wealth,.,.,"Status, role, and prestige",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"Singers/musicians (e.g., bards, minstrels)",.,Multiple singers (number unknown),.,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,.,.,.
112,.,.,.,.,.,.,Cultural identity and pride,Political behavior,.,Cultural identity and pride,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
113,.,.,.,Traditional history,.,.,Traditional history,.,.,Communication,Avoidance and taboo,"Status, role, and prestige",.,Night (2200 to 0400),Night (2200 to 0400),.,.,Solo singer,Adult,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),.,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,.,.,.
114,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1-10 hours,No recurrence,Multiple singers (number unknown),Adult,.,Multiple lines,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Idiophone,.,.
115,.,.,.,.,.,.,.,.,.,Ideas about nature and people,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116,.,.,.,Drives and emotions,.,.,Drives and emotions,Traditional history,.,.,.,.,.,Night (2200 to 0400),Night (2200 to 0400),1-10 hours,No recurrence,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,Idiophone,.,.
117,.,.,.,Drives and emotions,.,.,Drives and emotions,Traditional history,.,Intra-community relations,.,.,.,Night (2200 to 0400),Night (2200 to 0400),1-10 hours,No recurrence,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Idiophone,.,.
118,.,.,.,Drives and emotions,.,.,Drives and emotions,Traditional history,.,.,.,.,.,Night (2200 to 0400),Night (2200 to 0400),1-10 hours,No recurrence,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,Idiophone,.,.
119,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Solo singer,.,.,.,.,.,.,.,.,.,.,Composer,.,.,.,.,.,.,.,.,Idiophone,.,.
120,"Status, role, and prestige",.,.,.,.,.,"Status, role, and prestige",Communication,.,Drives and emotions,.,.,.,.,.,.,.,Solo singer,.,.,.,.,.,.,.,.,Male,Married,Composer,.,.,.,.,.,.,.,.,.,.,.
121,Hunting and trapping,.,.,Hunting and trapping,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,Hunting and trapping,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,.,Head/face & shoulders,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
122,.,.,.,.,.,.,Traditional history,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Elder,.,.,Head/face & shoulders,Unspecified location,.,.,.,.,.,Elders,.,.,.,.,.,.,.,.,.,.,.
123,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,Head/face & shoulders,Unspecified location,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
124,.,.,.,Dance,.,.,.,.,.,.,.,.,.,Night (2200 to 0400),Night (2200 to 0400),1-10 hours,No recurrence,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,.,.,.
125,Daily routine,.,.,.,.,.,.,.,.,.,.,.,.,Night (2200 to 0400),Night (2200 to 0400),1-10 hours,No recurrence,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,Both sexes,.,Composer,.,Multiple singers (number unknown),Adult,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,Idiophone,.,.
126,Dance,.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,Drives and emotions,.,.,.,.,.,.,.,.,.,.,2-5 singers,.,.,.,.,.,.,.,.,Both sexes,.,Composer,.,.,.,.,.,.,.,.,.,.,.
127,Dance,.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,Drives and emotions,.,.,.,.,.,.,.,.,.,.,Solo singer,.,.,.,.,.,.,.,.,Male,.,Composer,.,.,.,.,.,.,.,.,.,.,.
128,Dance,.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,Drives and emotions,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,Male,.,Composer,.,Multiple singers (number unknown),Adult,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,.,.,.
129,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,Drives and emotions,.,.,Travel and transportation,Labor,.,.,.,.,.,.,Solo singer,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
130,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,Drives and emotions,.,.,Labor,.,.,.,.,.,.,.,Solo singer,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
131,Drives and emotions,.,.,Drives and emotions,.,.,Drives and emotions,Intra-community relations,.,Drives and emotions,.,.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Idiophone,.,.
132,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
133,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Head/face & shoulders,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
134,.,.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.
135,.,.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Elder,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
136,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
137,.,.,.,.,.,.,.,.,.,Ideas about nature and people,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
138,.,.,.,.,.,.,.,.,.,Fauna,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Idiophone,.,.
139,.,.,.,.,.,.,.,.,.,Communication,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Idiophone,.,.
