indx,ocm,cite_text,cite_url,cite_pages,cite_byline,cite_analyst,cite_language,cite_title,cite_docid,cite_author,cite_doctype,cite_docnum,cite_location,cite_date,cite_fielddate,cite_evaluation,cite_publisher
53,BURIAL PRACTICES AND FUNERALS (764); TEXTS TRANSLATED INTO ENGLISH (902),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,10-13,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
54,BURIAL PRACTICES AND FUNERALS (764); TEXTS TRANSLATED INTO ENGLISH (902),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,10-13,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
55,BURIAL PRACTICES AND FUNERALS (764); TEXTS TRANSLATED INTO ENGLISH (902),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,10-13,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
56,BURIAL PRACTICES AND FUNERALS (764); TEXTS TRANSLATED INTO ENGLISH (902),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,10-13,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
57,BURIAL PRACTICES AND FUNERALS (764); TEXTS TRANSLATED INTO ENGLISH (902),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,10-13,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
58,BURIAL PRACTICES AND FUNERALS (764); TEXTS TRANSLATED INTO ENGLISH (902),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,10-13,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
59,BURIAL PRACTICES AND FUNERALS (764); TEXTS TRANSLATED INTO ENGLISH (902),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,10-13,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
60,BURIAL PRACTICES AND FUNERALS (764); TEXTS TRANSLATED INTO ENGLISH (902),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,10-13,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
61,CLANS (614); TEXTS TRANSLATED INTO ENGLISH (902); LINEAGES (613),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,21-22,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
62,CLANS (614); TEXTS TRANSLATED INTO ENGLISH (902); LINEAGES (613),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,22-23,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
63,ETHNOGEOGRAPHY (823),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,43,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
64,AGE STRATIFICATION (561); TEXTS TRANSLATED INTO ENGLISH (902),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,37-38,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
65,AGE STRATIFICATION (561); TEXTS TRANSLATED INTO ENGLISH (902),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,37-38,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
66,CLANS (614); TEXTS TRANSLATED INTO ENGLISH (902),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,69-70,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
67,TEXTS TRANSLATED INTO ENGLISH (902); ETHNOGEOGRAPHY (823); CLANS (614); LINEAGES (613),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,67-68,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
68,TEXTS TRANSLATED INTO ENGLISH (902),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,70-71,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
69,n/a,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,114-116,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
70,n/a,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,113-114,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
71,n/a,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,116-117,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
72,n/a,"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,117,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
73,CHIEF EXECUTIVE (643); TEXTS TRANSLATED INTO ENGLISH (902); LIFE AND DEATH (761); BURIAL PRACTICES AND FUNERALS (764); TEXTS IN THE SPEAKER’S LANGUAGE (901),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,119-121,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
74,CHIEF EXECUTIVE (643); TEXTS TRANSLATED INTO ENGLISH (902); LIFE AND DEATH (761); BURIAL PRACTICES AND FUNERALS (764); TEXTS IN THE SPEAKER’S LANGUAGE (901),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,119-121,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
75,CHIEF EXECUTIVE (643); TEXTS TRANSLATED INTO ENGLISH (902); LIFE AND DEATH (761); BURIAL PRACTICES AND FUNERALS (764); TEXTS IN THE SPEAKER’S LANGUAGE (901),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,119-121,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
76,CHIEF EXECUTIVE (643); TEXTS TRANSLATED INTO ENGLISH (902); LIFE AND DEATH (761); BURIAL PRACTICES AND FUNERALS (764); TEXTS IN THE SPEAKER’S LANGUAGE (901),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,119-121,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
77,CHIEF EXECUTIVE (643); TEXTS TRANSLATED INTO ENGLISH (902); LIFE AND DEATH (761); BURIAL PRACTICES AND FUNERALS (764); TEXTS IN THE SPEAKER’S LANGUAGE (901),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,119-121,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
78,TEXTS TRANSLATED INTO ENGLISH (902); ESCHATOLOGY (775); BURIAL PRACTICES AND FUNERALS (764),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,121-122,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
79,TEXTS TRANSLATED INTO ENGLISH (902); ESCHATOLOGY (775); BURIAL PRACTICES AND FUNERALS (764),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,121-122,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
80,LIFE AND DEATH (761); BURIAL PRACTICES AND FUNERALS (764); TEXTS TRANSLATED INTO ENGLISH (902),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,123-125,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
81,LIFE AND DEATH (761); BURIAL PRACTICES AND FUNERALS (764); TEXTS TRANSLATED INTO ENGLISH (902),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,123-125,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
82,LIFE AND DEATH (761); BURIAL PRACTICES AND FUNERALS (764); TEXTS TRANSLATED INTO ENGLISH (902),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,123-125,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
83,LIFE AND DEATH (761); BURIAL PRACTICES AND FUNERALS (764); TEXTS TRANSLATED INTO ENGLISH (902),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,123-125,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
84,LIFE AND DEATH (761); BURIAL PRACTICES AND FUNERALS (764); TEXTS TRANSLATED INTO ENGLISH (902),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,123-125,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
85,LIFE AND DEATH (761); BURIAL PRACTICES AND FUNERALS (764); TEXTS TRANSLATED INTO ENGLISH (902),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,123-125,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
86,SOCIOLINGUISTICS (195); TEXTS TRANSLATED INTO ENGLISH (902); LIFE AND DEATH (761),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,127-128,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
87,BURIAL PRACTICES AND FUNERALS (764),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,129,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
88,BURIAL PRACTICES AND FUNERALS (764); RECORDING AND COLLECTING IN THE FIELD (126),"Nketia, J. H. Kwabena. 1969. “Funeral Dirges Of The Akan People.” New York: Negro Universities Press.",http://ehrafworldcultures.yale.edu/document?id=fe12-053,199,[by] J. H. Nketia,Ian Skoggard ;1999,English,Funeral dirges of the Akan people,fe12-053,"Nketia, J. H. Kwabena",Monograph,53,Ghana,1952-1954,1952-1954,"Sociologist-4,5",New York
89,DANCE (535); THEORETICAL ORIENTATION (121); SOCIAL RELATIONSHIPS AND GROUPS (571); ETHOS (181),"Levine, Donald Nathan. 1965. “Wax & Gold: Tradition And Innovation In Ethiopian Culture.” Chicago: University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=mp05-011,264,Donald N. Levine,Helen Gunsher Bornstein ; John Beierle ; 1972,English,Wax & gold,mp05-011,"Levine, Donald Nathan, 1931-",Monograph,11,Ethiopia,1270-1961,1958-1961,"Sociologist-4,5",Chicago
90,THEORETICAL ORIENTATION (121); LITERATURE (538); SOCIAL PERSONALITY (156); WARFARE (726),"Levine, Donald Nathan. 1965. “Wax & Gold: Tradition And Innovation In Ethiopian Culture.” Chicago: University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=mp05-011,270,Donald N. Levine,Helen Gunsher Bornstein ; John Beierle ; 1972,English,Wax & gold,mp05-011,"Levine, Donald Nathan, 1931-",Monograph,11,Ethiopia,1270-1961,1958-1961,"Sociologist-4,5",Chicago
91,THEORETICAL ORIENTATION (121); LITERATURE (538); SOCIAL PERSONALITY (156); MUSICAL INSTRUMENTS (534),"Levine, Donald Nathan. 1965. “Wax & Gold: Tradition And Innovation In Ethiopian Culture.” Chicago: University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=mp05-011,270,Donald N. Levine,Helen Gunsher Bornstein ; John Beierle ; 1972,English,Wax & gold,mp05-011,"Levine, Donald Nathan, 1931-",Monograph,11,Ethiopia,1270-1961,1958-1961,"Sociologist-4,5",Chicago
92,THEORETICAL ORIENTATION (121); LITERATURE (538); SOCIAL PERSONALITY (156); MUSICAL INSTRUMENTS (534),"Levine, Donald Nathan. 1965. “Wax & Gold: Tradition And Innovation In Ethiopian Culture.” Chicago: University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=mp05-011,270,Donald N. Levine,Helen Gunsher Bornstein ; John Beierle ; 1972,English,Wax & gold,mp05-011,"Levine, Donald Nathan, 1931-",Monograph,11,Ethiopia,1270-1961,1958-1961,"Sociologist-4,5",Chicago
93,THEORETICAL ORIENTATION (121); LITERATURE (538); SOCIAL PERSONALITY (156); MUSICAL INSTRUMENTS (534),"Levine, Donald Nathan. 1965. “Wax & Gold: Tradition And Innovation In Ethiopian Culture.” Chicago: University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=mp05-011,270,Donald N. Levine,Helen Gunsher Bornstein ; John Beierle ; 1972,English,Wax & gold,mp05-011,"Levine, Donald Nathan, 1931-",Monograph,11,Ethiopia,1270-1961,1958-1961,"Sociologist-4,5",Chicago
94,THEORETICAL ORIENTATION (121); LITERATURE (538); SOCIAL PERSONALITY (156); WARFARE (726),"Levine, Donald Nathan. 1965. “Wax & Gold: Tradition And Innovation In Ethiopian Culture.” Chicago: University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=mp05-011,270,Donald N. Levine,Helen Gunsher Bornstein ; John Beierle ; 1972,English,Wax & gold,mp05-011,"Levine, Donald Nathan, 1931-",Monograph,11,Ethiopia,1270-1961,1958-1961,"Sociologist-4,5",Chicago
95,MUSICAL INSTRUMENTS (534); WARFARE (726); THEORETICAL ORIENTATION (121); LITERATURE (538); SOCIAL PERSONALITY (156),"Levine, Donald Nathan. 1965. “Wax & Gold: Tradition And Innovation In Ethiopian Culture.” Chicago: University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=mp05-011,270,Donald N. Levine,Helen Gunsher Bornstein ; John Beierle ; 1972,English,Wax & gold,mp05-011,"Levine, Donald Nathan, 1931-",Monograph,11,Ethiopia,1270-1961,1958-1961,"Sociologist-4,5",Chicago
96,THEORETICAL ORIENTATION (121); LITERATURE (538); SOCIAL PERSONALITY (156); WARFARE (726),"Levine, Donald Nathan. 1965. “Wax & Gold: Tradition And Innovation In Ethiopian Culture.” Chicago: University of Chicago Press.",http://ehrafworldcultures.yale.edu/document?id=mp05-011,"269, 270",Donald N. Levine,Helen Gunsher Bornstein ; John Beierle ; 1972,English,Wax & gold,mp05-011,"Levine, Donald Nathan, 1931-",Monograph,11,Ethiopia,1270-1961,1958-1961,"Sociologist-4,5",Chicago
97,MUSICAL INSTRUMENTS (534); DIVISION OF LABOR BY GENDER (462); DANCE (535),"Messing, Simon D. (Simon David), and M. Lionel (Marvin Lionel) Bender. 1985. “Highland Plateau Amhara Of Ethiopia.” Ethnography Series. New Haven, Conn.: Human Relations Area Files.",http://ehrafworldcultures.yale.edu/document?id=mp05-020,81,Simon D. Messing ; edited by M. Lionel Bender,Ian Skoggard ; 1996,English,Highland plateau Amhara of Ethiopia,mp05-020,"Messing, Simon D. (Simon David) Bender, M. Lionel (Marvin Lionel), 1934-",Monograph,20,"Gonder District, Ethiopia",1950s,"1953-54, 1961","Ethnologist-4,5","New Haven, Conn."
